Id,b'y',b'x1',b'x2',b'x3',b'x4',b'x5',b'x6',b'x7',b'x8',b'x9',b'x10',b'x11',b'x12',b'x13',b'x14',b'x15',b'x16',b'x17',b'x18',b'x19',b'x20',b'x21',b'x22',b'x23',b'x24',b'x25',b'x26',b'x27',b'x28',b'x29',b'x30',b'x31',b'x32',b'x33',b'x34',b'x35',b'x36',b'x37',b'x38',b'x39',b'x40',b'x41',b'x42',b'x43',b'x44',b'x45',b'x46',b'x47',b'x48',b'x49',b'x50',b'x51',b'x52',b'x53',b'x54',b'x55',b'x56',b'x57',b'x58',b'x59',b'x60',b'x61',b'x62',b'x63',b'x64',b'x65',b'x66',b'x67',b'x68',b'x69',b'x70',b'x71',b'x72',b'x73',b'x74',b'x75',b'x76',b'x77',b'x78',b'x79',b'x80',b'x81',b'x82',b'x83',b'x84',b'x85',b'x86',b'x87',b'x88',b'x89',b'x90',b'x91',b'x92',b'x93',b'x94',b'x95',b'x96',b'x97',b'x98',b'x99',b'x100'
0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01171875,0.98828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76953125,0.88671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49609375,0.31640625,0.0,0.0,0.0,0.0,0.03125,0.94140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.98828125,0.0,0.0,0.0,0.54296875,0.76171875,0.5078125,0.98828125,0.0,0.0,0.0,0.01171875,0.0,0.0,0.98828125,0.0,0.0,0.0,0.0,0.0,0.0
1,4.0,0.0,0.0,0.6640625,0.0,0.0,0.0,0.9921875,0.0,0.0,0.34375,0.07421875,0.0,0.73828125,0.0,0.0,0.0,0.0,0.0,0.0,0.8359375,0.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.98828125,0.0,0.0,0.0,0.0,0.16015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06640625,0.0,0.0,0.98828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18359375,0.0,0.0,0.0,0.96484375,0.0,0.98828125,0.97265625,0.0,0.0,0.98828125,0.0,0.0,0.0,0.0234375,0.0,0.9921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96484375,0.0,0.0,0.0,0.0,0.0,0.84375,0.0,0.0,0.0,0.0,0.69921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.74609375,0.0,0.0,0.5,0.99609375,0.0,0.0,0.0,0.0,0.99609375,0.99609375,0.0,0.0,0.0,0.99609375,0.0,0.0,0.0,0.0,0.0,0.99609375,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99609375,0.0,0.0,0.0,0.0,0.0,0.0,0.99609375,0.0,0.0,0.0,0.99609375,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.99609375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.99609375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99609375,0.25,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.7890625,0.0,0.0,0.0,0.0,0.45703125,0.0,0.578125,0.0,0.0,0.1015625,0.0,0.0,0.0,0.0,0.0,0.13671875,0.53515625,0.0,0.0,0.0,0.25390625,0.0,0.0,0.0,0.0,0.0,0.94140625,0.0,0.1015625,0.0,0.1484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52734375,0.09375,0.0,0.0,0.0,0.0,0.0,0.06640625,0.48828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7578125,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66015625,0.9921875,0.96875,0.0,0.0,0.0,0.0,0.0,0.96484375,0.0,0.1015625,0.9921875,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0390625,0.0,0.0,0.0,0.984375,0.984375,0.0,0.05078125,0.0,0.0,0.68359375,0.0,0.0,0.0,0.0,0.0,0.0,0.984375,0.51953125,0.98828125,0.0,0.0,0.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.6015625,0.0625,0.98828125,0.0,0.0,0.0,0.0,0.48828125,0.0,0.0,0.0,0.98828125,0.0234375,0.0,0.0,0.0,0.0,0.40625,0.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98828125,0.0,0.68359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98828125,0.83203125,0.9140625,0.54296875,0.0,0.0,0.0,0.75390625,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.71484375,0.0,0.0,0.0,0.0,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.828125,0.58984375,0.0,0.0,0.0,0.0,0.984375,0.0,0.0,0.0,0.0,0.0,0.08203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984375,0.0,0.0,0.0,0.0,0.98828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.0,0.0,0.0,0.984375,0.0,0.0,0.0,0.984375,0.984375,0.05078125,0.984375,0.98828125,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.984375,0.98828125,0.984375,0.0,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.0,0.0,0.984375,0.98828125,0.984375,0.0,0.0,0.0,0.0,0.984375,0.0,0.0,0.0,0.9296875,0.69140625,0.0,0.0,0.984375,0.0,0.984375,0.984375,0.8125,0.0,0.0,0.4609375,0.984375,0.0,0.984375,0.0,0.984375,0.0,0.984375,0.984375,0.0,0.0,0.984375,0.0,0.0,0.0,0.984375,0.0,0.984375,0.0,0.0,0.984375,0.0,0.0,0.0,0.984375,0.0,0.98828125,0.0,0.0,0.984375,0.984375,0.984375,0.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984375,0.80859375,0.0,0.0,0.0,0.0,0.0
7,3.0,0.0,0.98828125,0.69140625,0.0,0.0,0.0,0.0,0.984375,0.0,0.0,0.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29296875,0.17578125,0.4921875,0.0,0.0,0.98828125,0.0,0.0,0.0,0.984375,0.0,0.5703125,0.0,0.0,0.36328125,0.16796875,0.0,0.0,0.0,0.55078125,0.0,0.0,0.0,0.0,0.98828125,0.953125,0.0,0.0,0.921875,0.0,0.19921875,0.984375,0.0,0.0,0.0,0.0,0.21875,0.0,0.984375,0.0,0.9140625,0.0,0.984375,0.74609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90625,0.0,0.0,0.0,0.5390625,0.0,0.984375,0.0,0.0,0.921875,0.1796875,0.25,0.98828125,0.53515625,0.0,0.0,0.0,0.984375,0.0,0.0,0.984375,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,0.0,0.0,0.265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91015625,0.1328125,0.0,0.0,0.6015625,0.0,0.0,0.0,0.09765625,0.0,0.0,0.0,0.0,0.16015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921875,0.0,0.0,0.35546875,0.0,0.0,0.0,0.9921875,0.0,0.0,0.0,0.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.89453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10546875,0.0,0.0,0.93359375,0.0,0.0,0.0,0.0,0.0,0.96875,0.0,0.0,0.12890625,0.24609375,0.0,0.83203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23828125,0.0,0.0,0.0,0.0,0.0,0.0
9,3.0,0.0,0.0,0.98828125,0.0,0.0,0.0,0.0,0.3515625,0.0,0.0,0.09765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.796875,0.0,0.0,0.0,0.984375,0.0,0.98828125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984375,0.0,0.0,0.0,0.0,0.0,0.984375,0.0,0.0,0.0,0.98828125,0.84375,0.94140625,0.0,0.0,0.0,0.0,0.984375,0.0,0.0,0.7890625,0.0,0.0,0.0,0.0,0.0,0.0
